,0,1,2,3
70,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,940,2259,33.485
71,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,940,2260,51.0
72,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,941,519,27.0
73,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,941,521,28.0
74,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,941,522,29.0
75,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,941,1711,27.0
76,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,941,1718,32.63
77,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,941,1830,55.245
78,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,941,1831,52.861666666666665
79,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,941,2253,31.47833333333333
80,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,941,2254,29.19333333333333
81,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,941,2256,29.936666666666667
82,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,941,2257,28.715
83,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,941,2258,31.083333333333332
84,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,941,2259,33.485
85,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,941,2260,51.0
86,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,1790,519,27.0
87,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,1790,521,28.0
88,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,1790,522,29.0
89,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,1790,1711,27.0
90,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,1790,1718,32.63
91,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,1790,1830,499.7
92,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,1790,1831,52.861666666666665
93,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,1790,2253,31.47833333333333
94,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,1790,2254,29.19333333333333
95,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,1790,2256,29.936666666666667
96,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,1790,2257,28.715
97,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,1790,2258,31.083333333333332
98,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,1790,2259,50.0
99,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,1790,2260,51.0
100,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,1795,519,27.0
101,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,1795,521,28.0
102,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,1795,522,29.0
103,e73a45d9-8a9c-485c-807a-cbcfa97e9cfd,1795,1711,27.0
