from_stop_id,to_stop_id,transfer_type,min_transfer_time
547,594,2,121.9
547,595,2,31.2
548,547,2,161.6
548,594,2,46.3
549,593,2,136.1
558,586,2,30.0
559,585,2,72.0
560,561,2,151.6
560,584,2,72.7
561,560,2,151.6
561,583,2,44.2
562,582,2,66.3
563,639,2,97.9
563,665,2,64.6
565,637,2,71.9
566,636,2,153.5
567,635,2,104.3
568,634,2,49.4
569,633,2,15.5
570,632,2,13.7
571,631,2,77.1
572,631,2,118.6
574,848,2,62.2
575,847,2,26.0
576,846,2,36.5
577,845,2,87.9
579,843,2,37.2
580,842,2,26.8
581,841,2,57.0
581,849,2,54.2
582,562,2,66.3
583,561,2,44.2
584,560,2,72.7
585,559,2,72.0
586,558,2,30.0
593,549,2,136.1
593,867,2,119.3
593,960,2,38.8
593,961,2,157.0
594,547,2,121.9
594,548,2,46.3
594,595,2,140.8
595,547,2,31.2
595,594,2,140.8
596,545,2,18.5
601,2581,2,42.6
601,2616,2,68.7
603,536,2,118.9
605,7094,2,19.9
605,7096,2,28.7
606,533,2,154.4
606,5247,2,145.9
607,532,2,33.4
608,5247,2,75.7
609,5225,2,129.3
610,1417,2,102.6
611,1416,2,150.3
611,1417,2,131.5
612,1416,2,142.5
613,1415,2,33.0
614,1414,2,83.9
615,1412,2,152.0
615,1413,2,81.5
616,1412,2,89.8
616,3149,2,117.1
616,3256,2,65.1
617,1411,2,28.6
618,1410,2,75.3
618,8919,2,102.1
619,1409,2,70.4
620,1408,2,79.1
621,1407,2,14.3
622,1406,2,56.0
623,1405,2,13.2
623,1406,2,163.4
624,1404,2,72.8
624,3980,2,63.6
624,4707,2,81.4
626,1402,2,34.8
628,408,2,140.5
628,1134,2,43.2
628,7009,2,38.3
628,7040,2,118.2
629,650,2,126.0
630,1518,2,140.7
630,3074,2,127.6
631,571,2,77.1
631,572,2,118.6
632,570,2,13.7
633,569,2,15.5
634,568,2,49.4
635,567,2,104.3
636,566,2,153.5
637,565,2,71.9
639,563,2,97.9
639,665,2,137.6
640,1439,2,146.6
640,3357,2,93.9
641,3356,2,31.4
643,3354,2,23.9
644,3353,2,44.4
645,3352,2,159.5
646,3352,2,113.1
647,3351,2,82.3
649,3349,2,135.1
649,5351,2,145.9
650,629,2,126.0
658,7063,2,42.1
658,7068,2,153.7
661,682,2,38.7
661,4863,2,102.3
662,663,2,20.7
663,662,2,20.7
664,8004,2,51.3
665,563,2,64.6
665,639,2,137.6
668,410,2,33.9
668,5305,2,39.9
674,9939,2,29.1
675,1428,2,24.4
676,1427,2,76.8
677,1425,2,24.5
678,1424,2,51.6
679,1423,2,79.0
680,1422,2,71.6
681,1421,2,130.0
682,661,2,38.7
682,4863,2,101.5
683,806,2,121.0
685,829,2,13.1
685,1400,2,113.7
